,director_name,id
381,Andrei Konchalovsky,58728.0
382,Gary Ross,23964.0
389,Paul W.S. Anderson,4014.0
390,Genndy Tartakovsky,185438.0
391,Kevin Lima,15775.0
392,Daniel Espinosa,125738.0
395,Nancy Meyers,17698.0
399,Jill Culton,7881.0
400,Neil Burger,17329.0
401,Jean-Jacques Annaud,2352.0
406,Barry Cook,66191.0
407,Martin Brest,769.0
408,Andrew Davis,12989.0
409,Bob Fosse,66777.0
410,Tarsem Singh,56512.0
411,Edgar Wright,11090.0
412,Jon Amiel,15148.0
413,Peter Segal,13426.0
415,Pete Travis,43141.0
417,George A. Romero,14999.0
424,Sylvester Stallone,16483.0
427,Todd Phillips,57130.0
429,Karey Kirkpatrick,52845.0
431,Gary Winick,17046.0
432,Mimi Leder,51984.0
440,Seth Gordon,71600.0
443,Adam Shankman,20739.0
447,D.J. Caruso,40256.0
448,Anthony Minghella,2239.0
449,Albert Hughes,11447.0
450,Les Mayfield,56911.0
452,Joe Pytka,23677.0
454,Scott Derrickson,55499.0
457,Ivan Reitman,8858.0
458,Eric Brevig,9622.0
459,Kelly Asbury,12079.0
461,Stephen Hopkins,2042.0
462,Jonathan Demme,16294.0
463,Henry Jaglom,117075.0
465,James Algar,5690.0
470,Vincent Ward,9198.0
471,Steven Brill,32593.0
472,Terry Gilliam,280.0
474,Lucile Hadzihalilovic,17627.0
480,Roger Christian,5058.0
481,Joe Dante,4600.0
484,Kevin Costner,1269.0
487,Antony Hoffman,56154.0
489,Jacques Perrin,20030.0
492,Andrés Couturier,1172908.0
494,Roger Allers,15812.0
496,Cody Cameron,12095.0
500,John Singleton,6482.0
502,Oliver Hirschbiegel,7832.0
503,Des McAnuff,588701.0
504,Chris Renaud,124748.0
505,Stephen Norrington,10808.0
506,Pierre Coffin,124747.0
518,David Kellogg,4759.0
524,Mike Nichols,5342.0
525,Vicky Jenson,12058.0
527,F. Gary Gray,37932.0
529,Antoine Fuqua,20907.0
530,Robert Luketic,36797.0
533,Gil Kenan,57193.0
534,Barry Levinson,8246.0
535,Jerry Zucker,3415.0
536,Andy Tennant,17167.0
538,Florent-Emilio Siri,1011158.0
539,Gary Goldman,12881.0
540,Ron Shelton,4037.0
542,Àlex Pastor,94220.0
543,Henry Selick,57646.0
546,Kyle Balda,8023.0
550,Fergal Reilly,52701.0
552,Judd Apatow,41039.0
555,Steve Carr,52112.0
556,Mel Gibson,2461.0
558,David Silverman,197.0
559,Frank Darabont,4027.0
563,Betty Thomas,31024.0
567,Garry Marshall,1201.0
569,Paul Tibbitt,217174.0
574,Clark Johnson,47640.0
575,Cameron Crowe,11649.0
579,Randall Wallace,2460.0
581,Jonathan Frakes,2388.0
586,George Clooney,1461.0
589,Gary Shore,1167470.0
595,Andrzej Bartkowiak,10765.0
597,Måns Mårlind,80923.0
599,Gregory Hoblit,17812.0
600,Gary McKendry,141688.0
602,Wych Kaosayananda,65615.0
603,Mikael Salomon,30149.0
604,Bobby Farrelly,7395.0
605,Dan St. Pierre,15780.0
607,Kerry Conran,41378.0
608,Michael Caton-Jones,30365.0
609,Mikael Håfström,29605.0
611,Phil Alden Robinson,23968.0
612,David Slade,27571.0
615,Joseph Ruben,52629.0
616,Seth MacFarlane,52139.0
617,Alejandro Amenábar,19840.0
618,Kinka Usher,59646.0
